,away_wins,away_losses,away_draws,half_away_wins,half_away_losses,half_away_draws,Matches Played,total_wins,total_losses,total_draws,% wins,% losses,% draws,half_total_wins,half_total_losses,half_total_draws,% half wins,% half losses,% half draws,Total Full Time Away Team Goals,Full Time Away Team Goals mean,Total Half Time Away Team Goals,Half Time Away Team Goals mean,Total Away Team Shots,Away Team Shots mean,Total Away Team Shots on Target,Away Team Shots on Target mean,Total Away Team Fouls Committed,Away Team Fouls Committed mean,Total Away Team Corners,Away Team Corners mean,Total Away Team Yellow Cards,Away Team Yellow Cards mean,Total Away Team Red Cards,Away Team Red Cards mean
Lens,7,32,18,6.0,23.0,28.0,114,26,54,34,22.80701754385965,47.36842105263158,29.82456140350877,21.0,38.0,55.0,18.42105263157895,33.333333333333336,48.24561403508772,46.0,0.8070175438596491,22.0,0.38596491228070173,576.0,10.105263157894736,174.0,3.0526315789473686,949.0,16.649122807017545,228.0,4.0,97.0,1.7017543859649122,2.0,0.03508771929824561
Lorient,33,87,32,26.0,69.0,57.0,304,97,125,82,31.907894736842106,41.11842105263158,26.973684210526315,74.0,108.0,122.0,24.342105263157894,35.526315789473685,40.13157894736842,157.0,1.0328947368421053,72.0,0.47368421052631576,1597.0,10.506578947368421,561.0,3.6907894736842106,1895.0,12.467105263157896,725.0,4.769736842105263,257.0,1.6907894736842106,25.0,0.16447368421052633
Lyon,80,60,49,56.0,61.0,72.0,378,196,91,91,51.851851851851855,24.074074074074073,24.074074074074073,147.0,87.0,144.0,38.888888888888886,23.015873015873016,38.095238095238095,300.0,1.5873015873015872,120.0,0.6349206349206349,2428.0,12.846560846560847,881.0,4.661375661375661,2884.0,15.25925925925926,895.0,4.735449735449736,350.0,1.8518518518518519,27.0,0.14285714285714285
Nancy,22,47,25,17.0,33.0,44.0,189,54,86,49,28.571428571428573,45.5026455026455,25.925925925925927,47.0,50.0,92.0,24.867724867724867,26.455026455026456,48.67724867724868,87.0,0.925531914893617,43.0,0.4574468085106383,1013.0,10.77659574468085,336.0,3.574468085106383,1506.0,16.02127659574468,363.0,3.8617021276595747,178.0,1.8936170212765957,15.0,0.1595744680851064
Paris SG,104,40,46,64.0,39.0,87.0,380,241,54,85,63.421052631578945,14.210526315789474,22.36842105263158,177.0,55.0,148.0,46.578947368421055,14.473684210526315,38.94736842105263,337.0,1.7736842105263158,131.0,0.6894736842105263,2519.0,13.257894736842106,1027.0,5.405263157894737,2453.0,12.910526315789474,968.0,5.094736842105263,350.0,1.8421052631578947,26.0,0.1368421052631579
Sochaux,17,53,25,14.0,39.0,42.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,86.0,0.9052631578947369,35.0,0.3684210526315789,875.0,9.210526315789474,304.0,3.2,1441.0,15.16842105263158,399.0,4.2,159.0,1.6736842105263159,13.0,0.1368421052631579
Toulouse,43,97,50,35.0,77.0,78.0,380,114,154,112,30.0,40.526315789473685,29.473684210526315,89.0,118.0,173.0,23.42105263157895,31.05263157894737,45.526315789473685,165.0,0.868421052631579,70.0,0.3684210526315789,1877.0,9.878947368421052,640.0,3.3684210526315788,3151.0,16.58421052631579,784.0,4.126315789473685,408.0,2.1473684210526316,33.0,0.1736842105263158
Boulogne,3,11,5,2.0,8.0,9.0,38,7,21,10,18.42105263157895,55.26315789473684,26.31578947368421,9.0,14.0,15.0,23.68421052631579,36.8421052631579,39.473684210526315,12.0,0.631578947368421,4.0,0.21052631578947367,172.0,9.052631578947368,53.0,2.789473684210526,283.0,14.894736842105264,62.0,3.263157894736842,38.0,2.0,3.0,0.15789473684210525
Marseille,72,59,58,53.0,45.0,91.0,379,178,93,108,46.96569920844327,24.53825857519789,28.496042216358838,132.0,75.0,172.0,34.82849604221636,19.788918205804748,45.382585751978894,265.0,1.402116402116402,108.0,0.5714285714285714,2432.0,12.867724867724867,870.0,4.603174603174603,2841.0,15.031746031746032,994.0,5.2592592592592595,385.0,2.037037037037037,25.0,0.13227513227513227
Nice,49,85,56,38.0,68.0,84.0,380,145,133,102,38.1578947368421,35.0,26.842105263157894,99.0,104.0,177.0,26.05263157894737,27.36842105263158,46.578947368421055,185.0,0.9736842105263158,76.0,0.4,1904.0,10.021052631578947,672.0,3.536842105263158,2625.0,13.81578947368421,747.0,3.931578947368421,390.0,2.0526315789473686,31.0,0.1631578947368421
Arles,1,13,5,1.0,7.0,11.0,38,3,24,11,7.894736842105263,63.1578947368421,28.94736842105263,5.0,15.0,18.0,13.157894736842104,39.473684210526315,47.36842105263158,7.0,0.3684210526315789,3.0,0.15789473684210525,174.0,9.157894736842104,43.0,2.263157894736842,361.0,19.0,74.0,3.8947368421052633,36.0,1.894736842105263,4.0,0.21052631578947367
Brest,9,33,15,5.0,25.0,27.0,114,27,52,35,23.68421052631579,45.6140350877193,30.70175438596491,26.0,38.0,50.0,22.80701754385965,33.333333333333336,43.85964912280702,39.0,0.6842105263157895,9.0,0.15789473684210525,576.0,10.105263157894736,175.0,3.0701754385964914,951.0,16.68421052631579,207.0,3.6315789473684212,106.0,1.8596491228070176,5.0,0.08771929824561403
Caen,29,67,37,22.0,50.0,61.0,265,75,123,67,28.30188679245283,46.41509433962264,25.28301886792453,48.0,85.0,132.0,18.11320754716981,32.075471698113205,49.81132075471698,129.0,0.9699248120300752,50.0,0.37593984962406013,1318.0,9.909774436090226,431.0,3.2406015037593985,1912.0,14.37593984962406,541.0,4.067669172932331,244.0,1.8345864661654134,20.0,0.15037593984962405
Ajaccio,6,30,21,8.0,22.0,27.0,114,22,52,40,19.29824561403509,45.6140350877193,35.08771929824562,19.0,34.0,61.0,16.666666666666668,29.82456140350877,53.50877192982456,52.0,0.9122807017543859,23.0,0.40350877192982454,462.0,8.105263157894736,159.0,2.789473684210526,903.0,15.842105263157896,179.0,3.1403508771929824,119.0,2.087719298245614,12.0,0.21052631578947367
Dijon,9,46,21,14.0,25.0,37.0,152,39,75,38,25.657894736842106,49.3421052631579,25.0,37.0,46.0,69.0,24.342105263157894,30.263157894736842,45.39473684210526,67.0,0.881578947368421,34.0,0.4473684210526316,748.0,9.842105263157896,259.0,3.4078947368421053,1105.0,14.539473684210526,286.0,3.763157894736842,159.0,2.0921052631578947,14.0,0.18421052631578946
Evian Thonon Gaillard,16,41,19,14.0,30.0,32.0,152,45,71,36,29.605263157894736,46.71052631578947,23.68421052631579,40.0,49.0,63.0,26.31578947368421,32.23684210526316,41.44736842105263,75.0,0.9868421052631579,37.0,0.4868421052631579,668.0,8.789473684210526,237.0,3.1184210526315788,1139.0,14.986842105263158,284.0,3.736842105263158,153.0,2.013157894736842,11.0,0.14473684210526316
Troyes,6,41,10,9.0,26.0,22.0,114,20,66,28,17.54385964912281,57.89473684210526,24.56140350877193,19.0,46.0,49.0,16.666666666666668,40.35087719298246,42.98245614035088,48.0,0.8421052631578947,21.0,0.3684210526315789,539.0,9.456140350877194,175.0,3.0701754385964914,728.0,12.771929824561404,216.0,3.789473684210526,95.0,1.6666666666666667,9.0,0.15789473684210525
Reims,19,46,30,19.0,35.0,41.0,190,57,75,58,30.0,39.473684210526315,30.526315789473685,53.0,63.0,74.0,27.894736842105264,33.1578947368421,38.94736842105263,88.0,0.9263157894736842,38.0,0.4,920.0,9.68421052631579,303.0,3.1894736842105265,1335.0,14.052631578947368,379.0,3.9894736842105263,174.0,1.831578947368421,10.0,0.10526315789473684
Bastia,16,58,21,13.0,42.0,40.0,189,59,83,47,31.21693121693122,43.91534391534392,24.867724867724867,42.0,59.0,88.0,22.22222222222222,31.21693121693122,46.560846560846564,76.0,0.8,28.0,0.29473684210526313,837.0,8.810526315789474,254.0,2.6736842105263157,1290.0,13.578947368421053,314.0,3.305263157894737,186.0,1.9578947368421054,24.0,0.25263157894736843
Nantes,29,51,34,28.0,34.0,52.0,228,77,89,62,33.771929824561404,39.03508771929825,27.19298245614035,60.0,61.0,107.0,26.31578947368421,26.75438596491228,46.92982456140351,99.0,0.868421052631579,49.0,0.4298245614035088,1228.0,10.771929824561404,364.0,3.192982456140351,1668.0,14.631578947368421,473.0,4.149122807017544,235.0,2.06140350877193,13.0,0.11403508771929824
Guingamp,22,66,26,16.0,44.0,54.0,228,68,105,55,29.82456140350877,46.05263157894737,24.12280701754386,46.0,70.0,112.0,20.17543859649123,30.70175438596491,49.12280701754386,95.0,0.8333333333333334,31.0,0.2719298245614035,1112.0,9.75438596491228,399.0,3.5,1505.0,13.201754385964913,446.0,3.912280701754386,213.0,1.868421052631579,14.0,0.12280701754385964
Metz,8,37,12,8.0,27.0,22.0,114,24,63,27,21.05263157894737,55.26315789473684,23.68421052631579,20.0,45.0,49.0,17.54385964912281,39.473684210526315,42.98245614035088,35.0,0.6140350877192983,15.0,0.2631578947368421,522.0,9.157894736842104,174.0,3.0526315789473686,862.0,15.12280701754386,198.0,3.473684210526316,118.0,2.0701754385964914,13.0,0.22807017543859648
Angers,21,36,19,20.0,25.0,31.0,152,45,59,48,29.605263157894736,38.81578947368421,31.57894736842105,42.0,44.0,66.0,27.63157894736842,28.94736842105263,43.421052631578945,76.0,1.0,37.0,0.4868421052631579,822.0,10.81578947368421,280.0,3.6842105263157894,946.0,12.447368421052632,303.0,3.986842105263158,146.0,1.9210526315789473,11.0,0.14473684210526316
Ajaccio GFCO,3,10,6,3.0,9.0,7.0,38,8,17,13,21.05263157894737,44.73684210526316,34.21052631578947,9.0,16.0,13.0,23.68421052631579,42.10526315789474,34.21052631578947,14.0,0.7368421052631579,8.0,0.42105263157894735,158.0,8.31578947368421,45.0,2.3684210526315788,298.0,15.68421052631579,52.0,2.736842105263158,50.0,2.6315789473684212,3.0,0.15789473684210525
Amiens,6,22,10,7.0,15.0,16.0,76,21,35,20,27.63157894736842,46.05263157894737,26.31578947368421,19.0,22.0,35.0,25.0,28.94736842105263,46.05263157894737,22.0,0.5789473684210527,11.0,0.2894736842105263,314.0,8.263157894736842,85.0,2.236842105263158,520.0,13.68421052631579,116.0,3.0526315789473686,78.0,2.0526315789473686,5.0,0.13157894736842105
Strasbourg,7,18,13,8.0,15.0,15.0,76,20,29,27,26.31578947368421,38.1578947368421,35.526315789473685,18.0,27.0,31.0,23.68421052631579,35.526315789473685,40.78947368421053,44.0,1.1578947368421053,17.0,0.4473684210526316,383.0,10.078947368421053,116.0,3.0526315789473686,498.0,13.105263157894736,160.0,4.2105263157894735,72.0,1.894736842105263,4.0,0.10526315789473684
Nimes,6,10,3,4.0,7.0,8.0,38,15,15,8,39.473684210526315,39.473684210526315,21.05263157894737,11.0,12.0,15.0,28.94736842105263,31.57894736842105,39.473684210526315,27.0,1.4210526315789473,10.0,0.5263157894736842,262.0,13.789473684210526,80.0,4.2105263157894735,239.0,12.578947368421053,91.0,4.7894736842105265,36.0,1.894736842105263,1.0,0.05263157894736842
