,home_wins,home_losses,home_draws,half_home_wins,half_home_losses,half_home_draws,Matches Played,total_wins,total_losses,total_draws,% wins,% losses,% draws,half_total_wins,half_total_losses,half_total_draws,% half wins,% half losses,% half draws,Total Full Time Home Team Goals,Full Time Home Team Goals mean,Total Half Time Home Team Goals,Half Time Home Team Goals mean,Total Home Team Shots,Home Team Shots mean,Total Home Team Shots on Target,Home Team Shots on Target mean,Total Home Team Fouls Committed,Home Team Fouls Committed mean,Total Home Team Corners,Home Team Corners mean,Total Home Team Yellow Cards,Home Team Yellow Cards mean,Total Home Team Red Cards,Home Team Red Cards mean
Sochaux,42,33,20,34.0,29.0,32.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,120.0,1.263157894736842,58.0,0.6105263157894737,1209.0,12.726315789473684,432.0,4.5473684210526315,1335.0,14.052631578947368,509.0,5.3578947368421055,118.0,1.2421052631578948,10.0,0.10526315789473684
Toulouse,71,57,62,54.0,41.0,95.0,380,114,154,112,30.0,40.526315789473685,29.473684210526315,89.0,118.0,173.0,23.42105263157895,31.05263157894737,45.526315789473685,239.0,1.2578947368421052,94.0,0.49473684210526314,2417.0,12.721052631578948,829.0,4.363157894736842,2974.0,15.652631578947368,989.0,5.205263157894737,322.0,1.694736842105263,21.0,0.11052631578947368
Boulogne,4,10,5,7.0,6.0,6.0,38,7,21,10,18.42105263157895,55.26315789473684,26.31578947368421,9.0,14.0,15.0,23.68421052631579,36.8421052631579,39.473684210526315,19.0,1.0,11.0,0.5789473684210527,183.0,9.631578947368421,63.0,3.3157894736842106,312.0,16.42105263157895,83.0,4.368421052631579,36.0,1.894736842105263,3.0,0.15789473684210525
Marseille,106,34,50,79.0,30.0,81.0,379,178,93,108,46.96569920844327,24.53825857519789,28.496042216358838,132.0,75.0,172.0,34.82849604221636,19.788918205804748,45.382585751978894,327.0,1.7210526315789474,144.0,0.7578947368421053,2991.0,15.742105263157894,1030.0,5.421052631578948,2562.0,13.48421052631579,1164.0,6.126315789473685,287.0,1.5105263157894737,20.0,0.10526315789473684
Nice,96,48,46,61.0,36.0,93.0,380,145,133,102,38.1578947368421,35.0,26.842105263157894,99.0,104.0,177.0,26.05263157894737,27.36842105263158,46.578947368421055,263.0,1.3842105263157896,121.0,0.6368421052631579,2362.0,12.43157894736842,817.0,4.3,2540.0,13.368421052631579,992.0,5.221052631578948,310.0,1.631578947368421,20.0,0.10526315789473684
Arles,2,11,6,4.0,8.0,7.0,38,3,24,11,7.894736842105263,63.1578947368421,28.94736842105263,5.0,15.0,18.0,13.157894736842104,39.473684210526315,47.36842105263158,14.0,0.7368421052631579,9.0,0.47368421052631576,204.0,10.736842105263158,59.0,3.1052631578947367,293.0,15.421052631578947,85.0,4.473684210526316,31.0,1.631578947368421,4.0,0.21052631578947367
Brest,18,19,20,21.0,13.0,23.0,114,27,52,35,23.68421052631579,45.6140350877193,30.70175438596491,26.0,38.0,50.0,22.80701754385965,33.333333333333336,43.85964912280702,60.0,1.0526315789473684,35.0,0.6140350877192983,702.0,12.31578947368421,227.0,3.982456140350877,955.0,16.75438596491228,285.0,5.0,84.0,1.4736842105263157,4.0,0.07017543859649122
Caen,46,56,30,26.0,35.0,71.0,265,75,123,67,28.30188679245283,46.41509433962264,25.28301886792453,48.0,85.0,132.0,18.11320754716981,32.075471698113205,49.81132075471698,140.0,1.0606060606060606,62.0,0.4696969696969697,1685.0,12.765151515151516,523.0,3.962121212121212,1871.0,14.174242424242424,694.0,5.257575757575758,208.0,1.5757575757575757,14.0,0.10606060606060606
Ajaccio,16,22,19,11.0,12.0,34.0,114,22,52,40,19.29824561403509,45.6140350877193,35.08771929824562,19.0,34.0,61.0,16.666666666666668,29.82456140350877,53.50877192982456,64.0,1.1228070175438596,32.0,0.5614035087719298,652.0,11.43859649122807,232.0,4.0701754385964914,911.0,15.982456140350877,279.0,4.894736842105263,113.0,1.9824561403508771,8.0,0.14035087719298245
Dijon,30,29,17,23.0,21.0,32.0,152,39,75,38,25.657894736842106,49.3421052631579,25.0,37.0,46.0,69.0,24.342105263157894,30.263157894736842,45.39473684210526,103.0,1.355263157894737,46.0,0.6052631578947368,969.0,12.75,329.0,4.328947368421052,1033.0,13.592105263157896,376.0,4.947368421052632,136.0,1.7894736842105263,11.0,0.14473684210526316
Evian Thonon Gaillard,29,30,17,26.0,19.0,31.0,152,45,71,36,29.605263157894736,46.71052631578947,23.68421052631579,40.0,49.0,63.0,26.31578947368421,32.23684210526316,41.44736842105263,105.0,1.381578947368421,46.0,0.6052631578947368,929.0,12.223684210526315,311.0,4.092105263157895,1094.0,14.394736842105264,355.0,4.671052631578948,133.0,1.75,6.0,0.07894736842105263
Troyes,14,25,18,10.0,20.0,27.0,114,20,66,28,17.54385964912281,57.89473684210526,24.56140350877193,19.0,46.0,49.0,16.666666666666668,40.35087719298246,42.98245614035088,55.0,0.9649122807017544,25.0,0.43859649122807015,655.0,11.491228070175438,248.0,4.350877192982456,712.0,12.491228070175438,306.0,5.368421052631579,102.0,1.7894736842105263,12.0,0.21052631578947367
