Date,HomeTeam,AwayTeam,Year,Month,home_wins,home_losses,home_draws,half_home_wins,half_home_losses,half_home_draws,Matches Played_x,total_wins_x,total_losses_x,total_draws_x,% wins_x,% losses_x,% draws_x,half_total_wins_x,half_total_losses_x,half_total_draws_x,% half wins_x,% half losses_x,% half draws_x,Total Full Time Home Team Goals,Full Time Home Team Goals mean,Total Half Time Home Team Goals,Half Time Home Team Goals mean,Total Home Team Shots,Home Team Shots mean,Total Home Team Shots on Target,Home Team Shots on Target mean,Total Home Team Fouls Committed,Home Team Fouls Committed mean,Total Home Team Corners,Home Team Corners mean,Total Home Team Yellow Cards,Home Team Yellow Cards mean,Total Home Team Red Cards,Home Team Red Cards mean,away_wins,away_losses,away_draws,half_away_wins,half_away_losses,half_away_draws,Matches Played_y,total_wins_y,total_losses_y,total_draws_y,% wins_y,% losses_y,% draws_y,half_total_wins_y,half_total_losses_y,half_total_draws_y,% half wins_y,% half losses_y,% half draws_y,Total Full Time Away Team Goals,Full Time Away Team Goals mean,Total Half Time Away Team Goals,Half Time Away Team Goals mean,Total Away Team Shots,Away Team Shots mean,Total Away Team Shots on Target,Away Team Shots on Target mean,Total Away Team Fouls Committed,Away Team Fouls Committed mean,Total Away Team Corners,Away Team Corners mean,Total Away Team Yellow Cards,Away Team Yellow Cards mean,Total Away Team Red Cards,Away Team Red Cards mean
2019-08-09,Monaco,Lyon,2019.0,8.0,82.0,25.0,45.0,67.0,30.0,55.0,304.0,146.0,70.0,88.0,48.026315789473685,23.02631578947368,28.947368421052627,116.0,72.0,116.0,38.1578947368421,23.684210526315788,38.1578947368421,256.0,1.6842105263157894,114.0,0.75,1998.0,13.144736842105265,712.0,4.684210526315789,2167.0,14.25657894736842,888.0,5.842105263157895,275.0,1.8092105263157892,16.0,0.10526315789473684,80,60,49,56.0,61.0,72.0,378,196,91,91,51.85185185185186,24.074074074074073,24.074074074074073,147.0,87.0,144.0,38.888888888888886,23.015873015873016,38.095238095238095,300.0,1.5873015873015872,120.0,0.6349206349206349,2428.0,12.846560846560848,881.0,4.6613756613756605,2884.0,15.25925925925926,895.0,4.735449735449736,350.0,1.851851851851852,27.0,0.14285714285714285
2019-11-10,Marseille,Lyon,2019.0,11.0,106.0,34.0,50.0,79.0,30.0,81.0,379.0,178.0,93.0,108.0,46.96569920844327,24.538258575197894,28.496042216358838,132.0,75.0,172.0,34.82849604221636,19.788918205804745,45.3825857519789,327.0,1.7210526315789474,144.0,0.7578947368421053,2991.0,15.742105263157894,1030.0,5.421052631578949,2562.0,13.48421052631579,1164.0,6.126315789473685,287.0,1.5105263157894735,20.0,0.10526315789473684,80,60,49,56.0,61.0,72.0,378,196,91,91,51.85185185185186,24.074074074074073,24.074074074074073,147.0,87.0,144.0,38.888888888888886,23.015873015873016,38.095238095238095,300.0,1.5873015873015872,120.0,0.6349206349206349,2428.0,12.846560846560848,881.0,4.6613756613756605,2884.0,15.25925925925926,895.0,4.735449735449736,350.0,1.851851851851852,27.0,0.14285714285714285
2019-09-25,Brest,Lyon,2019.0,9.0,18.0,19.0,20.0,21.0,13.0,23.0,114.0,27.0,52.0,35.0,23.684210526315788,45.614035087719294,30.701754385964907,26.0,38.0,50.0,22.807017543859647,33.333333333333336,43.85964912280703,60.0,1.0526315789473684,35.0,0.6140350877192983,702.0,12.31578947368421,227.0,3.982456140350877,955.0,16.754385964912277,285.0,5.0,84.0,1.4736842105263157,4.0,0.07017543859649122,80,60,49,56.0,61.0,72.0,378,196,91,91,51.85185185185186,24.074074074074073,24.074074074074073,147.0,87.0,144.0,38.888888888888886,23.015873015873016,38.095238095238095,300.0,1.5873015873015872,120.0,0.6349206349206349,2428.0,12.846560846560848,881.0,4.6613756613756605,2884.0,15.25925925925926,895.0,4.735449735449736,350.0,1.851851851851852,27.0,0.14285714285714285
2019-08-27,Montpellier,Lyon,2019.0,8.0,92.0,49.0,49.0,52.0,45.0,93.0,380.0,146.0,126.0,108.0,38.42105263157895,33.1578947368421,28.421052631578952,95.0,104.0,181.0,25.0,27.36842105263158,47.631578947368425,272.0,1.431578947368421,100.0,0.5263157894736842,2641.0,13.9,896.0,4.71578947368421,2719.0,14.310526315789476,968.0,5.094736842105263,308.0,1.6210526315789473,19.0,0.1,80,60,49,56.0,61.0,72.0,378,196,91,91,51.85185185185186,24.074074074074073,24.074074074074073,147.0,87.0,144.0,38.888888888888886,23.015873015873016,38.095238095238095,300.0,1.5873015873015872,120.0,0.6349206349206349,2428.0,12.846560846560848,881.0,4.6613756613756605,2884.0,15.25925925925926,895.0,4.735449735449736,350.0,1.851851851851852,27.0,0.14285714285714285
2020-02-02,Nice,Lyon,2019.0,2.0,96.0,48.0,46.0,61.0,36.0,93.0,380.0,145.0,133.0,102.0,38.1578947368421,35.0,26.842105263157894,99.0,104.0,177.0,26.052631578947373,27.36842105263158,46.57894736842106,263.0,1.3842105263157896,121.0,0.6368421052631579,2362.0,12.431578947368418,817.0,4.3,2540.0,13.36842105263158,992.0,5.2210526315789485,310.0,1.631578947368421,20.0,0.10526315789473684,80,60,49,56.0,61.0,72.0,378,196,91,91,51.85185185185186,24.074074074074073,24.074074074074073,147.0,87.0,144.0,38.888888888888886,23.015873015873016,38.095238095238095,300.0,1.5873015873015872,120.0,0.6349206349206349,2428.0,12.846560846560848,881.0,4.6613756613756605,2884.0,15.25925925925926,895.0,4.735449735449736,350.0,1.851851851851852,27.0,0.14285714285714285
2020-03-08,Lille,Lyon,2019.0,3.0,107.0,36.0,47.0,78.0,30.0,82.0,380.0,175.0,102.0,103.0,46.05263157894736,26.842105263157894,27.105263157894736,130.0,79.0,171.0,34.21052631578947,20.789473684210527,45.0,326.0,1.7157894736842103,137.0,0.7210526315789474,2815.0,14.81578947368421,987.0,5.194736842105264,2572.0,13.53684210526316,1105.0,5.815789473684211,275.0,1.4473684210526316,13.0,0.06842105263157895,80,60,49,56.0,61.0,72.0,378,196,91,91,51.85185185185186,24.074074074074073,24.074074074074073,147.0,87.0,144.0,38.888888888888886,23.015873015873016,38.095238095238095,300.0,1.5873015873015872,120.0,0.6349206349206349,2428.0,12.846560846560848,881.0,4.6613756613756605,2884.0,15.25925925925926,895.0,4.735449735449736,350.0,1.851851851851852,27.0,0.14285714285714285
2019-11-30,Strasbourg,Lyon,2019.0,11.0,13.0,11.0,14.0,10.0,12.0,16.0,76.0,20.0,29.0,27.0,26.315789473684212,38.1578947368421,35.526315789473685,18.0,27.0,31.0,23.684210526315788,35.526315789473685,40.78947368421053,58.0,1.5263157894736843,23.0,0.6052631578947368,472.0,12.421052631578947,177.0,4.657894736842105,534.0,14.052631578947368,181.0,4.7631578947368425,68.0,1.7894736842105263,4.0,0.10526315789473684,80,60,49,56.0,61.0,72.0,378,196,91,91,51.85185185185186,24.074074074074073,24.074074074074073,147.0,87.0,144.0,38.888888888888886,23.015873015873016,38.095238095238095,300.0,1.5873015873015872,120.0,0.6349206349206349,2428.0,12.846560846560848,881.0,4.6613756613756605,2884.0,15.25925925925926,895.0,4.735449735449736,350.0,1.851851851851852,27.0,0.14285714285714285
2020-02-09,Paris SG,Lyon,2019.0,2.0,137.0,14.0,39.0,113.0,16.0,61.0,380.0,241.0,54.0,85.0,63.42105263157895,14.210526315789476,22.36842105263158,177.0,55.0,148.0,46.57894736842106,14.473684210526313,38.94736842105263,478.0,2.5157894736842104,216.0,1.136842105263158,2981.0,15.689473684210524,1172.0,6.1684210526315795,2339.0,12.310526315789476,1222.0,6.43157894736842,266.0,1.4,11.0,0.05789473684210526,80,60,49,56.0,61.0,72.0,378,196,91,91,51.85185185185186,24.074074074074073,24.074074074074073,147.0,87.0,144.0,38.888888888888886,23.015873015873016,38.095238095238095,300.0,1.5873015873015872,120.0,0.6349206349206349,2428.0,12.846560846560848,881.0,4.6613756613756605,2884.0,15.25925925925926,895.0,4.735449735449736,350.0,1.851851851851852,27.0,0.14285714285714285
2019-09-13,Amiens,Lyon,2019.0,9.0,15.0,13.0,10.0,12.0,7.0,19.0,76.0,21.0,35.0,20.0,27.63157894736842,46.05263157894736,26.315789473684212,19.0,22.0,35.0,25.0,28.947368421052627,46.05263157894736,46.0,1.2105263157894737,18.0,0.4736842105263158,433.0,11.394736842105265,135.0,3.5526315789473686,501.0,13.18421052631579,160.0,4.2105263157894735,58.0,1.5263157894736843,5.0,0.13157894736842105,80,60,49,56.0,61.0,72.0,378,196,91,91,51.85185185185186,24.074074074074073,24.074074074074073,147.0,87.0,144.0,38.888888888888886,23.015873015873016,38.095238095238095,300.0,1.5873015873015872,120.0,0.6349206349206349,2428.0,12.846560846560848,881.0,4.6613756613756605,2884.0,15.25925925925926,895.0,4.735449735449736,350.0,1.851851851851852,27.0,0.14285714285714285
2020-01-11,Bordeaux,Lyon,2019.0,1.0,92.0,40.0,58.0,78.0,38.0,74.0,380.0,143.0,114.0,123.0,37.631578947368425,30.0,32.368421052631575,124.0,96.0,160.0,32.631578947368425,25.26315789473684,42.10526315789474,270.0,1.4210526315789471,121.0,0.6368421052631579,2595.0,13.657894736842106,900.0,4.7368421052631575,2617.0,13.773684210526314,1015.0,5.342105263157895,295.0,1.5526315789473684,22.0,0.11578947368421053,80,60,49,56.0,61.0,72.0,378,196,91,91,51.85185185185186,24.074074074074073,24.074074074074073,147.0,87.0,144.0,38.888888888888886,23.015873015873016,38.095238095238095,300.0,1.5873015873015872,120.0,0.6349206349206349,2428.0,12.846560846560848,881.0,4.6613756613756605,2884.0,15.25925925925926,895.0,4.735449735449736,350.0,1.851851851851852,27.0,0.14285714285714285
