HomeTeam,AwayTeam,Full Time Home Team Goals,Full Time Away Team Goals,Full Time Result,Half Time Home Team Goals,Half Time Away Team Goals,Half Time Result,Home Team Shots,Away Team Shots,Home Team Shots on Target,Away Team Shots on Target,Home Team Fouls Committed,Away Team Fouls Committed,Home Team Corners,Away Team Corners,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Red Cards,Away Team Red Cards,Year,Month,Day,home_wins,home_losses,home_draws,half_home_wins,half_home_losses,half_home_draws,Matches Played_x,total_wins_x,total_losses_x,total_draws_x,% wins_x,% losses_x,% draws_x,half_total_wins_x,half_total_losses_x,half_total_draws_x,% half wins_x,% half losses_x,% half draws_x,Total Full Time Home Team Goals,Full Time Home Team Goals mean,Total Half Time Home Team Goals,Half Time Home Team Goals mean,Total Home Team Shots,Home Team Shots mean,Total Home Team Shots on Target,Home Team Shots on Target mean,Total Home Team Fouls Committed,Home Team Fouls Committed mean,Total Home Team Corners,Home Team Corners mean,Total Home Team Yellow Cards,Home Team Yellow Cards mean,Total Home Team Red Cards,Home Team Red Cards mean,away_wins,away_losses,away_draws,half_away_wins,half_away_losses,half_away_draws,Matches Played_y,total_wins_y,total_losses_y,total_draws_y,% wins_y,% losses_y,% draws_y,half_total_wins_y,half_total_losses_y,half_total_draws_y,% half wins_y,% half losses_y,% half draws_y,Total Full Time Away Team Goals,Full Time Away Team Goals mean,Total Half Time Away Team Goals,Half Time Away Team Goals mean,Total Away Team Shots,Away Team Shots mean,Total Away Team Shots on Target,Away Team Shots on Target mean,Total Away Team Fouls Committed,Away Team Fouls Committed mean,Total Away Team Corners,Away Team Corners mean,Total Away Team Yellow Cards,Away Team Yellow Cards mean,Total Away Team Red Cards,Away Team Red Cards mean
Montpellier,Sochaux,2,1,H,1.0,1.0,D,17.0,4.0,11.0,1.0,16.0,16.0,2.0,6.0,2.0,2.0,0.0,0.0,2012,04,07,92,49,49,52.0,45.0,93.0,380,146,126,108,38.421052631578945,33.1578947368421,28.42105263157895,95.0,104.0,181.0,25.0,27.36842105263158,47.63157894736842,272.0,1.431578947368421,100.0,0.5263157894736842,2641.0,13.9,896.0,4.71578947368421,2719.0,14.310526315789474,968.0,5.094736842105263,308.0,1.6210526315789473,19.0,0.1,17,53,25,14.0,39.0,42.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,86.0,0.9052631578947369,35.0,0.3684210526315789,875.0,9.210526315789474,304.0,3.2,1441.0,15.16842105263158,399.0,4.2,159.0,1.6736842105263159,13.0,0.1368421052631579
Montpellier,Sochaux,2,0,H,2.0,0.0,H,10.0,7.0,5.0,2.0,17.0,17.0,6.0,3.0,1.0,2.0,0.0,0.0,2013,01,26,92,49,49,52.0,45.0,93.0,380,146,126,108,38.421052631578945,33.1578947368421,28.42105263157895,95.0,104.0,181.0,25.0,27.36842105263158,47.63157894736842,272.0,1.431578947368421,100.0,0.5263157894736842,2641.0,13.9,896.0,4.71578947368421,2719.0,14.310526315789474,968.0,5.094736842105263,308.0,1.6210526315789473,19.0,0.1,17,53,25,14.0,39.0,42.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,86.0,0.9052631578947369,35.0,0.3684210526315789,875.0,9.210526315789474,304.0,3.2,1441.0,15.16842105263158,399.0,4.2,159.0,1.6736842105263159,13.0,0.1368421052631579
Montpellier,Sochaux,2,1,H,1.0,1.0,D,12.0,9.0,4.0,1.0,24.0,17.0,1.0,3.0,2.0,3.0,0.0,1.0,2013,08,24,92,49,49,52.0,45.0,93.0,380,146,126,108,38.421052631578945,33.1578947368421,28.42105263157895,95.0,104.0,181.0,25.0,27.36842105263158,47.63157894736842,272.0,1.431578947368421,100.0,0.5263157894736842,2641.0,13.9,896.0,4.71578947368421,2719.0,14.310526315789474,968.0,5.094736842105263,308.0,1.6210526315789473,19.0,0.1,17,53,25,14.0,39.0,42.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,86.0,0.9052631578947369,35.0,0.3684210526315789,875.0,9.210526315789474,304.0,3.2,1441.0,15.16842105263158,399.0,4.2,159.0,1.6736842105263159,13.0,0.1368421052631579
Rennes,Sochaux,1,2,A,0.0,1.0,A,14.0,6.0,5.0,1.0,15.0,10.0,3.0,4.0,2.0,1.0,0.0,0.0,2010,05,02,78,52,60,64.0,41.0,85.0,380,137,131,112,36.05263157894737,34.473684210526315,29.473684210526315,107.0,101.0,172.0,28.157894736842106,26.57894736842105,45.26315789473684,251.0,1.3210526315789475,113.0,0.5947368421052631,2479.0,13.047368421052632,849.0,4.468421052631579,2420.0,12.736842105263158,969.0,5.1,290.0,1.5263157894736843,15.0,0.07894736842105263,17,53,25,14.0,39.0,42.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,86.0,0.9052631578947369,35.0,0.3684210526315789,875.0,9.210526315789474,304.0,3.2,1441.0,15.16842105263158,399.0,4.2,159.0,1.6736842105263159,13.0,0.1368421052631579
Rennes,Sochaux,2,1,H,1.0,1.0,D,17.0,15.0,5.0,9.0,17.0,17.0,9.0,3.0,3.0,1.0,0.0,0.0,2010,09,11,78,52,60,64.0,41.0,85.0,380,137,131,112,36.05263157894737,34.473684210526315,29.473684210526315,107.0,101.0,172.0,28.157894736842106,26.57894736842105,45.26315789473684,251.0,1.3210526315789475,113.0,0.5947368421052631,2479.0,13.047368421052632,849.0,4.468421052631579,2420.0,12.736842105263158,969.0,5.1,290.0,1.5263157894736843,15.0,0.07894736842105263,17,53,25,14.0,39.0,42.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,86.0,0.9052631578947369,35.0,0.3684210526315789,875.0,9.210526315789474,304.0,3.2,1441.0,15.16842105263158,399.0,4.2,159.0,1.6736842105263159,13.0,0.1368421052631579
Rennes,Sochaux,1,0,H,1.0,0.0,H,14.0,3.0,1.0,1.0,16.0,14.0,4.0,3.0,0.0,1.0,0.0,0.0,2012,02,11,78,52,60,64.0,41.0,85.0,380,137,131,112,36.05263157894737,34.473684210526315,29.473684210526315,107.0,101.0,172.0,28.157894736842106,26.57894736842105,45.26315789473684,251.0,1.3210526315789475,113.0,0.5947368421052631,2479.0,13.047368421052632,849.0,4.468421052631579,2420.0,12.736842105263158,969.0,5.1,290.0,1.5263157894736843,15.0,0.07894736842105263,17,53,25,14.0,39.0,42.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,86.0,0.9052631578947369,35.0,0.3684210526315789,875.0,9.210526315789474,304.0,3.2,1441.0,15.16842105263158,399.0,4.2,159.0,1.6736842105263159,13.0,0.1368421052631579
Rennes,Sochaux,2,2,D,1.0,1.0,D,13.0,13.0,7.0,7.0,11.0,18.0,3.0,4.0,1.0,2.0,0.0,0.0,2013,02,23,78,52,60,64.0,41.0,85.0,380,137,131,112,36.05263157894737,34.473684210526315,29.473684210526315,107.0,101.0,172.0,28.157894736842106,26.57894736842105,45.26315789473684,251.0,1.3210526315789475,113.0,0.5947368421052631,2479.0,13.047368421052632,849.0,4.468421052631579,2420.0,12.736842105263158,969.0,5.1,290.0,1.5263157894736843,15.0,0.07894736842105263,17,53,25,14.0,39.0,42.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,86.0,0.9052631578947369,35.0,0.3684210526315789,875.0,9.210526315789474,304.0,3.2,1441.0,15.16842105263158,399.0,4.2,159.0,1.6736842105263159,13.0,0.1368421052631579
Rennes,Sochaux,1,2,A,0.0,1.0,A,10.0,14.0,4.0,7.0,14.0,8.0,4.0,7.0,2.0,3.0,0.0,0.0,2014,05,10,78,52,60,64.0,41.0,85.0,380,137,131,112,36.05263157894737,34.473684210526315,29.473684210526315,107.0,101.0,172.0,28.157894736842106,26.57894736842105,45.26315789473684,251.0,1.3210526315789475,113.0,0.5947368421052631,2479.0,13.047368421052632,849.0,4.468421052631579,2420.0,12.736842105263158,969.0,5.1,290.0,1.5263157894736843,15.0,0.07894736842105263,17,53,25,14.0,39.0,42.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,86.0,0.9052631578947369,35.0,0.3684210526315789,875.0,9.210526315789474,304.0,3.2,1441.0,15.16842105263158,399.0,4.2,159.0,1.6736842105263159,13.0,0.1368421052631579
St Etienne,Sochaux,0,0,D,0.0,0.0,D,18.0,11.0,4.0,5.0,19.0,10.0,9.0,2.0,0.0,2.0,0.0,0.0,2009,12,05,94,42,54,61.0,42.0,87.0,380,156,116,108,41.05263157894737,30.526315789473685,28.42105263157895,110.0,94.0,176.0,28.94736842105263,24.736842105263158,46.31578947368421,288.0,1.5157894736842106,112.0,0.5894736842105263,2677.0,14.089473684210526,917.0,4.826315789473684,2562.0,13.48421052631579,1164.0,6.126315789473685,291.0,1.5315789473684212,17.0,0.08947368421052632,17,53,25,14.0,39.0,42.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,86.0,0.9052631578947369,35.0,0.3684210526315789,875.0,9.210526315789474,304.0,3.2,1441.0,15.16842105263158,399.0,4.2,159.0,1.6736842105263159,13.0,0.1368421052631579
St Etienne,Sochaux,3,2,H,1.0,0.0,H,17.0,16.0,7.0,6.0,20.0,14.0,7.0,10.0,2.0,1.0,0.0,0.0,2010,08,14,94,42,54,61.0,42.0,87.0,380,156,116,108,41.05263157894737,30.526315789473685,28.42105263157895,110.0,94.0,176.0,28.94736842105263,24.736842105263158,46.31578947368421,288.0,1.5157894736842106,112.0,0.5894736842105263,2677.0,14.089473684210526,917.0,4.826315789473684,2562.0,13.48421052631579,1164.0,6.126315789473685,291.0,1.5315789473684212,17.0,0.08947368421052632,17,53,25,14.0,39.0,42.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,86.0,0.9052631578947369,35.0,0.3684210526315789,875.0,9.210526315789474,304.0,3.2,1441.0,15.16842105263158,399.0,4.2,159.0,1.6736842105263159,13.0,0.1368421052631579
